TIME  VP  VN
5700  0.284  0
5705  0.2691  0
5710  0.2541  0
5715  0.2392  0
5720  0.2242  0
5725  0.2093  0
5730  0.1943  0
5735  0.1794  0
5740  0.1644  0
5745  0.1495  0
5750  0.1345  0
5755  0.1196  0
5760  0.1046  0
5765  0.0897  0
5770  0.0747  0
5775  0.0598  0
5780  0.0448  0
5785  0.0299  0
5790  0.0149  0
5795  0  0
5800  0.0149  0
5805  0.0299  0
5810  0.0448  0
5815  0.0598  0
5820  0.0747  0
5825  0.0897  0
5830  0.1046  0
5835  0.1196  0
5840  0.1345  0
5845  0.1495  0
5850  0.1644  0
5855  0.1794  0
5860  0.1943  0
5865  0.2093  0
5870  0.2242  0
5875  0.2392  0
5880  0.2541  0
5885  0.2691  0
5890  0.284  0
5895  0.299  0
5900  0.3139  0
5905  0.3289  0
5910  0.3438  0
5915  0.3588  0
5920  0.3737  0
5925  0.3887  0
5930  0.4036  0
5935  0.4186  0
5940  0.4335  0
5945  0.4485  0
5950  0.4634  0
5955  0.4784  0
5960  0.4933  0
5965  0.5083  0
5970  0.5232  0
5975  0.5382  0
5980  0.5531  0
5985  0.5681  0
5990  0.583  0
5995  0.598  0
6000  0.583  0
6005  0.5681  0
6010  0.5531  0
6015  0.5382  0
6020  0.5232  0
6025  0.5083  0
6030  0.4933  0
6035  0.4784  0
6040  0.4634  0
6045  0.4485  0
6050  0.4335  0
6055  0.4186  0
6060  0.4036  0
6065  0.3887  0
6070  0.3737  0
6075  0.3588  0
6080  0.3438  0
6085  0.3289  0
6090  0.3139  0
6095  0.299  0
6100  0.284  0
6105  0.2691  0
6110  0.2541  0
6115  0.2392  0
6120  0.2242  0
6125  0.2093  0
6130  0.1943  0
6135  0.1794  0
6140  0.1644  0
6145  0.1495  0
6150  0.1345  0
6155  0.1196  0
6160  0.1046  0
6165  0.0897  0
6170  0.0747  0
6175  0.0598  0
6180  0.0448  0
6185  0.0299  0
6190  0.0149  0
6195  0  0
6200  0.0149  0
6205  0.0299  0
6210  0.0448  0
6215  0.0598  0
6220  0.0747  0
6225  0.0897  0
6230  0.1046  0
6235  0.1196  0
6240  0.1345  0
6245  0.1495  0
6250  0.1644  0
6255  0.1794  0
6260  0.1943  0
6265  0.2093  0
6270  0.2242  0
6275  0.2392  0
6280  0.2541  0
6285  0.2691  0
6290  0.284  0
6295  0.299  0
6300  0.3139  0
6305  0.3289  0
6310  0.3438  0
6315  0.3588  0
6320  0.3737  0
6325  0.3887  0
6330  0.4036  0
6335  0.4186  0
6340  0.4335  0
6345  0.4485  0
6350  0.4634  0
6355  0.4784  0
6360  0.4933  0
6365  0.5083  0
6370  0.5232  0
6375  0.5382  0
6380  0.5531  0
6385  0.5681  0
6390  0.583  0
6395  0.598  0
6400  0.583  0
6405  0.5681  0
6410  0.5531  0
6415  0.5382  0
6420  0.5232  0
6425  0.5083  0
6430  0.4933  0
6435  0.4784  0
6440  0.4634  0
6445  0.4485  0
6450  0.4335  0
6455  0.4186  0
6460  0.4036  0
6465  0.3887  0
6470  0.3737  0
6475  0.3588  0
6480  0.3438  0
6485  0.3289  0
6490  0.3139  0
6495  0.299  0
6500  0.284  0
6505  0.2691  0
6510  0.2541  0
6515  0.2392  0
6520  0.2242  0
6525  0.2093  0
6530  0.1943  0
6535  0.1794  0
6540  0.1644  0
6545  0.1495  0
6550  0.1345  0
6555  0.1196  0
6560  0.1046  0
6565  0.0897  0
6570  0.0747  0
6575  0.0598  0
6580  0.0448  0
6585  0.0299  0
6590  0.0149  0
6595  0  0
6600  0.0149  0
6605  0.0299  0
6610  0.0448  0
6615  0.0598  0
6620  0.0747  0
6625  0.0897  0
6630  0.1046  0
6635  0.1196  0
6640  0.1345  0
6645  0.1495  0
6650  0.1644  0
6655  0.1794  0
6660  0.1943  0
6665  0.2093  0
6670  0.2242  0
6675  0.2392  0
6680  0.2541  0
6685  0.2691  0
6690  0.284  0
6695  0.299  0
6700  0.3139  0
6705  0.3289  0
6710  0.3438  0
6715  0.3588  0
6720  0.3737  0
6725  0.3887  0
6730  0.4036  0
6735  0.4186  0
6740  0.4335  0
6745  0.4485  0
6750  0.4634  0
6755  0.4784  0
6760  0.4933  0
6765  0.5083  0
6770  0.5232  0
6775  0.5382  0
6780  0.5531  0
6785  0.5681  0
6790  0.583  0
6795  0.598  0
6800  0.583  0
6805  0.5681  0
6810  0.5531  0
6815  0.5382  0
6820  0.5232  0
6825  0.5083  0
6830  0.4933  0
6835  0.4784  0
6840  0.4634  0
6845  0.4485  0
6850  0.4335  0
6855  0.4186  0
6860  0.4036  0
6865  0.3887  0
6870  0.3737  0
6875  0.3588  0
6880  0.3438  0
6885  0.3289  0
6890  0.3139  0
6895  0.299  0
6900  0.284  0
6905  0.2691  0
6910  0.2541  0
6915  0.2392  0
6920  0.2242  0
6925  0.2093  0
6930  0.1943  0
6935  0.1794  0
6940  0.1644  0
6945  0.1495  0
6950  0.1345  0
6955  0.1196  0
6960  0.1046  0
6965  0.0897  0
6970  0.0747  0
6975  0.0598  0
6980  0.0448  0
6985  0.0299  0
6990  0.0149  0
6995  0  0
7000  0.0149  0
7005  0.0299  0
7010  0.0448  0
7015  0.0598  0
7020  0.0747  0
7025  0.0897  0
7030  0.1046  0
7035  0.1196  0
7040  0.1345  0
7045  0.1495  0
7050  0.1644  0
7055  0.1794  0
7060  0.1943  0
7065  0.2093  0
7070  0.2242  0
7075  0.2392  0
7080  0.2541  0
7085  0.2691  0
7090  0.284  0
7095  0.299  0
7100  0.3139  0
7105  0.3289  0
7110  0.3438  0
7115  0.3588  0
7120  0.3737  0
7125  0.3887  0
7130  0.4036  0
7135  0.4186  0
7140  0.4335  0
7145  0.4485  0
7150  0.4634  0
7155  0.4784  0
7160  0.4933  0
7165  0.5083  0
7170  0.5232  0
7175  0.5382  0
7180  0.5531  0
7185  0.5681  0
7190  0.583  0
7195  0.598  0
7200  0.583  0
7205  0.5681  0
7210  0.5531  0
7215  0.5382  0
7220  0.5232  0
7225  0.5083  0
7230  0.4933  0
7235  0.4784  0
7240  0.4634  0
7245  0.4485  0
7250  0.4335  0
7255  0.4186  0
7260  0.4036  0
7265  0.3887  0
7270  0.3737  0
7275  0.3588  0
7280  0.3438  0
7285  0.3289  0
7290  0.3139  0
7295  0.299  0
7300  0.284  0
7305  0.2691  0
7310  0.2541  0
7315  0.2392  0
7320  0.2242  0
7325  0.2093  0
7330  0.1943  0
7335  0.1794  0
7340  0.1644  0
7345  0.1495  0
7350  0.1345  0
7355  0.1196  0
7360  0.1046  0
7365  0.0897  0
7370  0.0747  0
7375  0.0598  0
7380  0.0448  0
7385  0.0299  0
7390  0.0149  0
7395  0  0
7400  0.0149  0
7405  0.0299  0
7410  0.0448  0
7415  0.0598  0
7420  0.0747  0
7425  0.0897  0
7430  0.1046  0
7435  0.1196  0
7440  0.1345  0
7445  0.1495  0
7450  0.1644  0
7455  0.1794  0
7460  0.1943  0
7465  0.2093  0
7470  0.2242  0
7475  0.2392  0
7480  0.2541  0
7485  0.2691  0
7490  0.284  0
7495  0.299  0
7500  0.3139  0
7505  0.3289  0
7510  0.3438  0
7515  0.3588  0
7520  0.3737  0
7525  0.3887  0
7530  0.4036  0
7535  0.4186  0
7540  0.4335  0
7545  0.4485  0
7550  0.4634  0
7555  0.4784  0
7560  0.4933  0
7565  0.5083  0
7570  0.5232  0
7575  0.5382  0
7580  0.5531  0
7585  0.5681  0
7590  0.583  0
7595  0.598  0
7600  0.583  0
7605  0.5681  0
7610  0.5531  0
7615  0.5382  0
7620  0.5232  0
7625  0.5083  0
7630  0.4933  0
7635  0.4784  0
7640  0.4634  0
7645  0.4485  0
7650  0.4335  0
7655  0.4186  0
7660  0.4036  0
7665  0.3887  0
7670  0.3737  0
7675  0.3588  0
7680  0.3438  0
7685  0.3289  0
7690  0.3139  0
7695  0.299  0
7700  0.284  0
7705  0.2691  0
7710  0.2541  0
7715  0.2392  0
7720  0.2242  0
7725  0.2093  0
7730  0.1943  0
7735  0.1794  0
7740  0.1644  0
7745  0.1495  0
7750  0.1345  0
7755  0.1196  0
7760  0.1046  0
7765  0.0897  0
7770  0.0747  0
7775  0.0598  0
7780  0.0448  0
7785  0.0299  0
7790  0.0149  0
7795  0  0
7800  0.0149  0
7805  0.0299  0
7810  0.0448  0
7815  0.0598  0
7820  0.0747  0
7825  0.0897  0
7830  0.1046  0
7835  0.1196  0
7840  0.1345  0
7845  0.1495  0
7850  0.1644  0
7855  0.1794  0
7860  0.1943  0
7865  0.2093  0
7870  0.2242  0
7875  0.2392  0
7880  0.2541  0
7885  0.2691  0
7890  0.284  0
7895  0.299  0
7900  0.3139  0
7905  0.3289  0
7910  0.3438  0
7915  0.3588  0
7920  0.3737  0
7925  0.3887  0
7930  0.4036  0
7935  0.4186  0
7940  0.4335  0
7945  0.4485  0
7950  0.4634  0
7955  0.4784  0
7960  0.4933  0
7965  0.5083  0
7970  0.5232  0
7975  0.5382  0
7980  0.5531  0
7985  0.5681  0
7990  0.583  0
7995  0.598  1
8000  0.583  2
8005  0.5681  3
8010  0.5531  4
8015  0.5382  5
8020  0.5232  6
8025  0.5083  7
8030  0.4933  8
8035  0.4784  9
8040  0.4634  10
8045  0.4485  11
8050  0.4335  12
8055  0.4186  13
8060  0.4036  14
8065  0.3887  15
8070  0.3737  16
8075  0.3588  17
8080  0.3438  18
8085  0.3289  19
8090  0.3139  20
8095  0.299  21
8100  0.284  22
8105  0.2691  23
8110  0.2541  24
8115  0.2392  25
8120  0.2242  26
8125  0.2093  27
8130  0.1943  28
8135  0.1794  29
8140  0.1644  30
8145  0.1495  31
8150  0.1345  32
8155  0.1196  33
8160  0.1046  34
8165  0.0897  35
8170  0.0747  36
8175  0.0598  37
8180  0.0448  38
8185  0.0299  39
8190  0.0149  40
8195  0  41
8200  0.0149  42
8205  0.0299  43
8210  0.0448  44
8215  0.0598  45
8220  0.0747  46
8225  0.0897  47
8230  0.1046  48
8235  0.1196  49
8240  0.1345  50
8245  0.1495  51
8250  0.1644  52
8255  0.1794  53
8260  0.1943  54
8265  0.2093  55
8270  0.2242  56
8275  0.2392  57
8280  0.2541  58
8285  0.2691  59
8290  0.284  60
8295  0.299  61
8300  0.3139  62
8305  0.3289  63
8310  0.3438  64
8315  0.3588  65
8320  0.3737  66
8325  0.3887  67
8330  0.4036  68
8335  0.4186  69
8340  0.4335  70
8345  0.4485  71
8350  0.4634  72
8355  0.4784  73
8360  0.4933  74
8365  0.5083  75
8370  0.5232  76
8375  0.5382  77
8380  0.5531  78
8385  0.5681  79
8390  0.583  80
8395  0.598  81
8400  0.583  82
8405  0.5681  83
8410  0.5531  84
8415  0.5382  85
8420  0.5232  86
8425  0.5083  87
8430  0.4933  88
8435  0.4784  89
8440  0.4634  90
8445  0.4485  91
8450  0.4335  92
8455  0.4186  93
8460  0.4036  94
8465  0.3887  95
8470  0.3737  96
8475  0.3588  97
8480  0.3438  98
8485  0.3289  99
8490  0.3139  100
8495  0.299  101
8500  0.284  102
8505  0.2691  103
8510  0.2541  104
8515  0.2392  105
8520  0.2242  106
8525  0.2093  107
8530  0.1943  108
8535  0.1794  109
8540  0.1644  110
8545  0.1495  111
8550  0.1345  112
8555  0.1196  113
8560  0.1046  114
8565  0.0897  115
8570  0.0747  116
8575  0.0598  117
8580  0.0448  118
8585  0.0299  119
8590  0.0149  120
8595  0  121
8600  0.0149  122
8605  0.0299  123
8610  0.0448  124
8615  0.0598  125
8620  0.0747  126
8625  0.0897  127
8630  0.1046  128
8635  0.1196  129
8640  0.1345  130
8645  0.1495  131
8650  0.1644  132
8655  0.1794  133
8660  0.1943  134
8665  0.2093  135
8670  0.2242  136
8675  0.2392  137
8680  0.2541  138
8685  0.2691  139
8690  0.284  140
8695  0.299  141
8700  0.3139  142
8705  0.3289  143
8710  0.3438  144
8715  0.3588  145
8720  0.3737  146
8725  0.3887  147
8730  0.4036  148
8735  0.4186  149
8740  0.4335  150
8745  0.4485  151
8750  0.4634  152
8755  0.4784  153
8760  0.4933  154
8765  0.5083  155
8770  0.5232  156
8775  0.5382  157
8780  0.5531  158
8785  0.5681  159
8790  0.583  160
8795  0.598  161
8800  0.583  162
8805  0.5681  163
8810  0.5531  164
8815  0.5382  165
8820  0.5232  166
8825  0.5083  167
8830  0.4933  168
8835  0.4784  169
8840  0.4634  170
8845  0.4485  171
8850  0.4335  172
8855  0.4186  173
8860  0.4036  174
8865  0.3887  175
8870  0.3737  176
8875  0.3588  177
8880  0.3438  178
8885  0.3289  179
8890  0.3139  180
8895  0.299  181
8900  0.284  182
8905  0.2691  183
8910  0.2541  184
8915  0.2392  185
8920  0.2242  186
8925  0.2093  187
8930  0.1943  188
8935  0.1794  189
8940  0.1644  190
8945  0.1495  191
8950  0.1345  192
8955  0.1196  193
8960  0.1046  194
8965  0.0897  195
8970  0.0747  196
8975  0.0598  197
8980  0.0448  198
8985  0.0299  199
8990  0.0149  200
8995  0  201
9000  0.0149  202
9005  0.0299  203
9010  0.0448  204
9015  0.0598  205
9020  0.0747  206
9025  0.0897  207
9030  0.1046  208
9035  0.1196  209
9040  0.1345  210
9045  0.1495  211
9050  0.1644  212
9055  0.1794  213
9060  0.1943  214
9065  0.2093  215
9070  0.2242  216
9075  0.2392  217
9080  0.2541  218
9085  0.2691  219
9090  0.284  220
9095  0.299  221
9100  0.3139  222
9105  0.3289  223
9110  0.3438  224
9115  0.3588  225
9120  0.3737  226
9125  0.3887  227
9130  0.4036  228
9135  0.4186  229
9140  0.4335  230
9145  0.4485  231
9150  0.4634  232
9155  0.4784  233
9160  0.4933  234
9165  0.5083  235
9170  0.5232  236
9175  0.5382  237
9180  0.5531  238
9185  0.5681  239
9190  0.583  240
9195  0.598  241
9200  0.583  242
9205  0.5681  243
9210  0.5531  244
9215  0.5382  245
9220  0.5232  246
9225  0.5083  247
9230  0.4933  248
9235  0.4784  249
9240  0.4634  250
9245  0.4485  251
9250  0.4335  252
9255  0.4186  253
9260  0.4036  254
9265  0.3887  255
9270  0.3737  256
9275  0.3588  257
9280  0.3438  258
9285  0.3289  259
9290  0.3139  260
9295  0.299  261
9300  0.284  262
9305  0.2691  263
9310  0.2541  264
9315  0.2392  265
9320  0.2242  266
9325  0.2093  267
9330  0.1943  268
9335  0.1794  269
9340  0.1644  270
9345  0.1495  271
9350  0.1345  272
9355  0.1196  273
9360  0.1046  274
9365  0.0897  275
9370  0.0747  276
9375  0.0598  277
9380  0.0448  278
9385  0.0299  279
9390  0.0149  280
9395  0  281
9400  0.0149  282
9405  0.0299  283
9410  0.0448  284
9415  0.0598  285
9420  0.0747  286
9425  0.0897  287
9430  0.1046  288
9435  0.1196  289
9440  0.1345  290
9445  0.1495  291
9450  0.1644  292
9455  0.1794  293
9460  0.1943  294
9465  0.2093  295
9470  0.2242  296
9475  0.2392  297
9480  0.2541  298
9485  0.2691  299
9490  0.284  300
9495  0.299  301
9500  0.3139  302
9505  0.3289  303
9510  0.3438  304
9515  0.3588  305
9520  0.3737  306
9525  0.3887  307
9530  0.4036  308
9535  0.4186  309
9540  0.4335  310
9545  0.4485  311
9550  0.4634  312
9555  0.4784  313
9560  0.4933  314
9565  0.5083  315
9570  0.5232  316
9575  0.5382  317
9580  0.5531  318
9585  0.5681  319
9590  0.583  320
9595  0.598  321
9600  0.583  322
9605  0.5681  323
9610  0.5531  324
9615  0.5382  325
9620  0.5232  326
9625  0.5083  327
9630  0.4933  328
9635  0.4784  329
9640  0.4634  330
9645  0.4485  331
9650  0.4335  332
9655  0.4186  333
9660  0.4036  334
9665  0.3887  335
9670  0.3737  336
9675  0.3588  337
9680  0.3438  338
9685  0.3289  339
9690  0.3139  340
9695  0.299  341
9700  0.284  342
9705  0.2691  343
9710  0.2541  344
9715  0.2392  345
9720  0.2242  346
9725  0.2093  347
9730  0.1943  348
9735  0.1794  349
9740  0.1644  350
9745  0.1495  351
9750  0.1345  352
9755  0.1196  353
9760  0.1046  354
9765  0.0897  355
9770  0.0747  356
9775  0.0598  357
9780  0.0448  358
9785  0.0299  359
9790  0.0149  360
9795  0  361
9800  0.0149  362
9805  0.0299  363
9810  0.0448  364
9815  0.0598  365
9820  0.0747  366
9825  0.0897  367
9830  0.1046  368
9835  0.1196  369
9840  0.1345  370
9845  0.1495  371
9850  0.1644  372
9855  0.1794  373
9860  0.1943  374
9865  0.2093  375
9870  0.2242  376
9875  0.2392  377
9880  0.2541  378
9885  0.2691  379
9890  0.284  380
9895  0.299  381
9900  0.3139  382
9905  0.3289  383
9910  0.3438  384
9915  0.3588  385
9920  0.3737  386
9925  0.3887  387
9930  0.4036  388
9935  0.4186  389
9940  0.4335  390
9945  0.4485  391
9950  0.4634  392
9955  0.4784  393
9960  0.4933  394
9965  0.5083  395
9970  0.5232  396
9975  0.5382  397
9980  0.5531  398
9985  0.5681  399
9990  0.583  400
9995  0.598  401
10000  0.583  402
10005  0.5681  403
10010  0.5531  404
10015  0.5382  405
10020  0.5232  406
10025  0.5083  407
10030  0.4933  408
10035  0.4784  409
10040  0.4634  410
10045  0.4485  411
10050  0.4335  412
10055  0.4186  413
10060  0.4036  414
10065  0.3887  415
10070  0.3737  416
10075  0.3588  417
10080  0.3438  418
10085  0.3289  419
10090  0.3139  420
10095  0.299  421
10100  0.284  422
10105  0.2691  423
10110  0.2541  424
10115  0.2392  425
10120  0.2242  426
10125  0.2093  427
10130  0.1943  428
10135  0.1794  429
10140  0.1644  430
10145  0.1495  431
10150  0.1345  432
10155  0.1196  433
10160  0.1046  434
10165  0.0897  435
10170  0.0747  436
10175  0.0598  437
10180  0.0448  438
10185  0.0299  439
10190  0.0149  440
10195  0  441
10200  0.0149  442
10205  0.0299  443
10210  0.0448  444
10215  0.0598  445
10220  0.0747  446
10225  0.0897  447
10230  0.1046  448
10235  0.1196  449
10240  0.1345  450
10245  0.1495  451
10250  0.1644  452
10255  0.1794  453
10260  0.1943  454
10265  0.2093  455
10270  0.2242  456
10275  0.2392  457
10280  0.2541  458
10285  0.2691  459
10290  0.284  460
10295  0.299  461
10300  0.3139  462
10305  0.3289  463
10310  0.3438  464
10315  0.3588  465
10320  0.3737  466
10325  0.3887  467
10330  0.4036  468
10335  0.4186  469
10340  0.4335  470
10345  0.4485  471
10350  0.4634  472
10355  0.4784  473
10360  0.4933  474
10365  0.5083  475
10370  0.5232  476
10375  0.5382  477
10380  0.5531  478
10385  0.5681  479
10390  0.583  480
10395  0.598  481
10400  0.583  482
10405  0.5681  483
10410  0.5531  484
10415  0.5382  485
10420  0.5232  486
10425  0.5083  487
10430  0.4933  488
10435  0.4784  489
10440  0.4634  490
10445  0.4485  491
10450  0.4335  492
10455  0.4186  493
10460  0.4036  494
10465  0.3887  495
10470  0.3737  496
10475  0.3588  497
10480  0.3438  498
10485  0.3289  499
10490  0.3139  500
10495  0.299  501
10500  0.284  502
10505  0.2691  503
10510  0.2541  504
10515  0.2392  505
10520  0.2242  506
10525  0.2093  507
10530  0.1943  508
10535  0.1794  509
10540  0.1644  510
10545  0.1495  511
10550  0.1345  512
10555  0.1196  513
10560  0.1046  514
10565  0.0897  515
10570  0.0747  516
10575  0.0598  517
10580  0.0448  518
10585  0.0299  519
10590  0.0149  520
10595  0  521
10600  0.0149  522
10605  0.0299  523
10610  0.0448  524
10615  0.0598  525
10620  0.0747  526
10625  0.0897  527
10630  0.1046  528
10635  0.1196  529
10640  0.1345  530
10645  0.1495  531
10650  0.1644  532
10655  0.1794  533
10660  0.1943  534
10665  0.2093  535
10670  0.2242  536
10675  0.2392  537
10680  0.2541  538
10685  0.2691  539
10690  0.284  540
10695  0.299  541
10700  0.3139  542
10705  0.3289  543
10710  0.3438  544
10715  0.3588  545
10720  0.3737  546
10725  0.3887  547
10730  0.4036  548
10735  0.4186  549
10740  0.4335  550
10745  0.4485  551
10750  0.4634  552
10755  0.4784  553
10760  0.4933  554
10765  0.5083  555
10770  0.5232  556
10775  0.5382  557
10780  0.5531  558
10785  0.5681  559
10790  0.583  560
10795  0.598  561
10800  0.583  562
10805  0.5681  563
10810  0.5531  564
10815  0.5382  565
10820  0.5232  566
10825  0.5083  567
10830  0.4933  568
10835  0.4784  569
10840  0.4634  570
10845  0.4485  571
10850  0.4335  572
10855  0.4186  573
10860  0.4036  574
10865  0.3887  575
10870  0.3737  576
10875  0.3588  577
10880  0.3438  578
10885  0.3289  579
10890  0.3139  580
10895  0.299  581
10900  0.284  582
10905  0.2691  583
10910  0.2541  584
10915  0.2392  585
10920  0.2242  586
10925  0.2093  587
10930  0.1943  588
10935  0.1794  589
10940  0.1644  590
10945  0.1495  591
10950  0.1345  592
10955  0.1196  593
10960  0.1046  594
10965  0.0897  595
10970  0.0747  596
10975  0.0598  597
10980  0.0448  598
10985  0.0299  599
10990  0.0149  600
10995  0  601
11000  0.0149  602
11005  0.0299  603
11010  0.0448  604
11015  0.0598  605
11020  0.0747  606
11025  0.0897  607
11030  0.1046  608
11035  0.1196  609
11040  0.1345  610
11045  0.1495  611
11050  0.1644  612
11055  0.1794  613
11060  0.1943  614
11065  0.2093  615
11070  0.2242  616
11075  0.2392  617
11080  0.2541  618
11085  0.2691  619
11090  0.284  620
11095  0.299  621
11100  0.3139  622
11105  0.3289  623
11110  0.3438  624
11115  0.3588  625
11120  0.3737  626
11125  0.3887  627
11130  0.4036  628
11135  0.4186  629
11140  0.4335  630
11145  0.4485  631
11150  0.4634  632
11155  0.4784  633
11160  0.4933  634
11165  0.5083  635
11170  0.5232  636
11175  0.5382  637
11180  0.5531  638
11185  0.5681  639
11190  0.583  640
11195  0.598  641
11200  0.583  642
11205  0.5681  643
11210  0.5531  644
11215  0.5382  645
11220  0.5232  646
11225  0.5083  647
11230  0.4933  648
11235  0.4784  649
11240  0.4634  650
11245  0.4485  651
11250  0.4335  652
11255  0.4186  653
11260  0.4036  654
11265  0.3887  655
11270  0.3737  656
11275  0.3588  657
11280  0.3438  658
11285  0.3289  659
11290  0.3139  660
11295  0.299  661
11300  0.284  662
11305  0.2691  663
11310  0.2541  664
11315  0.2392  665
11320  0.2242  666
11325  0.2093  667
11330  0.1943  668
11335  0.1794  669
11340  0.1644  670
11345  0.1495  671
11350  0.1345  672
11355  0.1196  673
11360  0.1046  674
11365  0.0897  675
11370  0.0747  676
11375  0.0598  677
11380  0.0448  678
11385  0.0299  679
11390  0.0149  680
11395  0  681
11400  0.0149  682
11405  0.0299  683
11410  0.0448  684
11415  0.0598  685
11420  0.0747  686
11425  0.0897  687
11430  0.1046  688
11435  0.1196  689
11440  0.1345  690
11445  0.1495  691
11450  0.1644  692
11455  0.1794  693
11460  0.1943  694
11465  0.2093  695
11470  0.2242  696
11475  0.2392  697
11480  0.2541  698
11485  0.2691  699
11490  0.284  700
11495  0.299  701
11500  0.3139  702
11505  0.3289  703
11510  0.3438  704
11515  0.3588  705
11520  0.3737  706
11525  0.3887  707
11530  0.4036  708
11535  0.4186  709
11540  0.4335  710
11545  0.4485  711
11550  0.4634  712
11555  0.4784  713
11560  0.4933  714
11565  0.5083  715
11570  0.5232  716
11575  0.5382  717
11580  0.5531  718
11585  0.5681  719
11590  0.583  720
11595  0.598  721
11600  0.583  722
11605  0.5681  723
11610  0.5531  724
11615  0.5382  725
11620  0.5232  726
11625  0.5083  727
11630  0.4933  728
11635  0.4784  729
11640  0.4634  730
11645  0.4485  731
11650  0.4335  732
11655  0.4186  733
11660  0.4036  734
11665  0.3887  735
11670  0.3737  736
11675  0.3588  737
11680  0.3438  738
11685  0.3289  739
11690  0.3139  740
11695  0.299  741
11700  0.284  742
11705  0.2691  743
11710  0.2541  744
11715  0.2392  745
11720  0.2242  746
11725  0.2093  747
11730  0.1943  748
11735  0.1794  749
11740  0.1644  750
11745  0.1495  751
11750  0.1345  752
11755  0.1196  753
11760  0.1046  754
11765  0.0897  755
11770  0.0747  756
11775  0.0598  757
11780  0.0448  758
11785  0.0299  759
11790  0.0149  760
11795  0  761
11800  0.0149  762
11805  0.0299  763
11810  0.0448  764
11815  0.0598  765
11820  0.0747  766
11825  0.0897  767
11830  0.1046  768
11835  0.1196  769
11840  0.1345  770
11845  0.1495  771
11850  0.1644  772
11855  0.1794  773
11860  0.1943  774
11865  0.2093  775
11870  0.2242  776
11875  0.2392  777
11880  0.2541  778
11885  0.2691  779
11890  0.284  780
11895  0.299  781
11900  0.3139  782
11905  0.3289  783
11910  0.3438  784
11915  0.3588  785
11920  0.3737  786
11925  0.3887  787
11930  0.4036  788
11935  0.4186  789
11940  0.4335  790
11945  0.4485  791
11950  0.4634  792
11955  0.4784  793
11960  0.4933  794
11965  0.5083  795
11970  0.5232  796
11975  0.5382  797
11980  0.5531  798
11985  0.5681  799
11990  0.583  800





























































































































































