TIME    VP     VN    VAUXP[0]   VAUXN[0]   
182000 0.86  0.0  0.86  0  
183040 0.87  0.0  0.87  0  
184080 0.87  0.0  0.87  0  
185120 0.87  0.0  0.87  0  
186160 0.87  0.0  0.87  0  
187200 0.87  0.0  0.87  0  
188240 0.88  0.0  0.88  0  
189280 0.88  0.0  0.88  0  
190320 0.88  0.0  0.88  0  
191360 0.88  0.0  0.88  0  
192400 0.88  0.0  0.88  0  
193440 0.89  0.0  0.89  0  
194480 0.89  0.0  0.89  0  
195520 0.89  0.0  0.89  0  
196560 0.89  0.0  0.89  0  
197600 0.90  0.0  0.90  0  
198640 0.90  0.0  0.90  0  
199680 0.90  0.0  0.90  0  
200720 0.90  0.0  0.90  0  
201760 0.90  0.0  0.90  0  
202800 0.91  0.0  0.91  0  
203840 0.91  0.0  0.91  0  
204880 0.91  0.0  0.91  0  
205920 0.91  0.0  0.91  0  
206960 0.91  0.0  0.91  0  
208000 0.92  0.0  0.92  0  
209040 0.92  0.0  0.92  0  
210080 0.92  0.0  0.92  0  
211120 0.92  0.0  0.92  0  
212160 0.92  0.0  0.92  0  
213200 0.93  0.0  0.93  0  
214240 0.93  0.0  0.93  0  
215280 0.93  0.0  0.93  0  
216320 0.93  0.0  0.93  0  
217360 0.93  0.0  0.93  0  
218400 0.94  0.0  0.94  0  
219440 0.94  0.0  0.94  0  
220480 0.94  0.0  0.94  0  
221520 0.94  0.0  0.94  0  
222560 0.95  0.0  0.95  0  
223600 0.95  0.0  0.95  0  
224640 0.95  0.0  0.95  0  
225680 0.95  0.0  0.95  0  
226720 0.95  0.0  0.95  0  
227760 0.96  0.0  0.96  0  
228800 0.96  0.0  0.96  0  
229840 0.96  0.0  0.96  0  
230880 0.96  0.0  0.96  0  
231920 0.96  0.0  0.96  0  
232960 0.97  0.0  0.97  0  
234000 0.97  0.0  0.97  0  
235040 0.97  0.0  0.97  0  
236080 0.97  0.0  0.97  0  
237120 0.97  0.0  0.97  0  
238160 0.98  0.0  0.98  0  
239200 0.98  0.0  0.98  0  
240240 0.98  0.0  0.98  0  
241280 0.98  0.0  0.98  0  
242320 0.98  0.0  0.98  0  
243360 0.99  0.0  0.99  0  
244400 0.99  0.0  0.99  0  
245440 0.99  0.0  0.99  0  
246480 0.99  0.0  0.99  0  
247520 1.00  0.0  1.00  0  
248560 1.00  0.0  1.00  0  
249600 1.00  0.0  1.00  0  
250640 1.00  0.0  1.00  0  
251680 1.00  0.0  1.00  0  
252720 0.99  0.0  0.99  0  
253760 0.99  0.0  0.99  0  
254800 0.99  0.0  0.99  0  
255840 0.99  0.0  0.99  0  
256880 0.99  0.0  0.99  0  
257920 0.98  0.0  0.98  0  
258960 0.98  0.0  0.98  0  
260000 0.98  0.0  0.98  0  
261040 0.98  0.0  0.98  0  
262080 0.98  0.0  0.98  0  
263120 0.97  0.0  0.97  0  
264160 0.97  0.0  0.97  0  
265200 0.97  0.0  0.97  0  
266240 0.97  0.0  0.97  0  
267280 0.97  0.0  0.97  0  
268320 0.96  0.0  0.96  0  
269360 0.96  0.0  0.96  0  
270400 0.96  0.0  0.96  0  
271440 0.96  0.0  0.96  0  
272480 0.96  0.0  0.96  0  
273520 0.95  0.0  0.95  0  
274560 0.95  0.0  0.95  0  
275600 0.95  0.0  0.95  0  
276640 0.95  0.0  0.95  0  
277680 0.94  0.0  0.94  0  
278720 0.94  0.0  0.94  0  
279760 0.94  0.0  0.94  0  
280800 0.94  0.0  0.94  0  
281840 0.94  0.0  0.94  0  
282880 0.93  0.0  0.93  0  
283920 0.93  0.0  0.93  0  
284960 0.93  0.0  0.93  0  
286000 0.93  0.0  0.93  0  
287040 0.93  0.0  0.93  0  
288080 0.92  0.0  0.92  0  
289120 0.92  0.0  0.92  0  
290160 0.92  0.0  0.92  0  
291200 0.92  0.0  0.92  0  
292240 0.92  0.0  0.92  0  
293280 0.91  0.0  0.91  0  
294320 0.91  0.0  0.91  0  
295360 0.91  0.0  0.91  0  
296400 0.91  0.0  0.91  0  
297440 0.91  0.0  0.91  0  
298480 0.90  0.0  0.90  0  
299520 0.90  0.0  0.90  0  
300560 0.90  0.0  0.90  0  
301600 0.90  0.0  0.90  0  
302640 0.89  0.0  0.89  0  
303680 0.89  0.0  0.89  0  
304720 0.89  0.0  0.89  0  
305760 0.89  0.0  0.89  0  
306800 0.89  0.0  0.89  0  
307840 0.88  0.0  0.88  0  
308880 0.88  0.0  0.88  0  
309920 0.88  0.0  0.88  0  
310960 0.88  0.0  0.88  0  
312000 0.88  0.0  0.88  0  
313040 0.87  0.0  0.87  0  
314080 0.87  0.0  0.87  0  
315120 0.87  0.0  0.87  0  
316160 0.87  0.0  0.87  0  
317200 0.87  0.0  0.87  0  
318240 0.86  0.0  0.86  0  
319280 0.86  0.0  0.86  0  
320320 0.86  0.0  0.86  0  
321360 0.86  0.0  0.86  0  
322400 0.86  0.0  0.86  0  
323440 0.85  0.0  0.85  0  
324480 0.85  0.0  0.85  0  
325520 0.85  0.0  0.85  0  
326560 0.85  0.0  0.85  0  
327600 0.84  0.0  0.84  0  
328640 0.84  0.0  0.84  0  
329680 0.84  0.0  0.84  0  
330720 0.84  0.0  0.84  0  
331760 0.84  0.0  0.84  0  
332800 0.83  0.0  0.83  0  
333840 0.83  0.0  0.83  0  
334880 0.83  0.0  0.83  0  
335920 0.83  0.0  0.83  0  
336960 0.83  0.0  0.83  0  
338000 0.82  0.0  0.82  0  
339040 0.82  0.0  0.82  0  
340080 0.82  0.0  0.82  0  
341120 0.82  0.0  0.82  0  
342160 0.82  0.0  0.82  0  
343200 0.81  0.0  0.81  0  
344240 0.81  0.0  0.81  0  
345280 0.81  0.0  0.81  0  
346320 0.81  0.0  0.81  0  
347360 0.81  0.0  0.81  0  
348400 0.80  0.0  0.80  0  
349440 0.80  0.0  0.80  0  
350480 0.80  0.0  0.80  0  
351520 0.80  0.0  0.80  0  
352560 0.79  0.0  0.79  0  
353600 0.79  0.0  0.79  0  
354640 0.79  0.0  0.79  0  
355680 0.79  0.0  0.79  0  
356720 0.79  0.0  0.79  0  
357760 0.78  0.0  0.78  0  
358800 0.78  0.0  0.78  0  
359840 0.78  0.0  0.78  0  
360880 0.78  0.0  0.78  0  
361920 0.78  0.0  0.78  0  
362960 0.77  0.0  0.77  0  
364000 0.77  0.0  0.77  0  
365040 0.77  0.0  0.77  0  
366080 0.77  0.0  0.77  0  
367120 0.77  0.0  0.77  0  
368160 0.76  0.0  0.76  0  
369200 0.76  0.0  0.76  0  
370240 0.76  0.0  0.76  0  
371280 0.76  0.0  0.76  0  
372320 0.76  0.0  0.76  0  
373360 0.75  0.0  0.75  0  
374400 0.75  0.0  0.75  0  
375440 0.75  0.0  0.75  0  
376480 0.75  0.0  0.75  0  
377520 0.74  0.0  0.74  0  
378560 0.74  0.0  0.74  0  
379600 0.74  0.0  0.74  0  
380640 0.74  0.0  0.74  0  
381680 0.74  0.0  0.74  0  
382720 0.73  0.0  0.73  0  
383760 0.73  0.0  0.73  0  
384800 0.73  0.0  0.73  0  
385840 0.73  0.0  0.73  0  
386880 0.73  0.0  0.73  0  
387920 0.72  0.0  0.72  0  
388960 0.72  0.0  0.72  0  
390000 0.72  0.0  0.72  0  
391040 0.72  0.0  0.72  0  
392080 0.72  0.0  0.72  0  
393120 0.71  0.0  0.71  0  
394160 0.71  0.0  0.71  0  
395200 0.71  0.0  0.71  0  
396240 0.71  0.0  0.71  0  
397280 0.71  0.0  0.71  0  
398320 0.70  0.0  0.70  0  
399360 0.70  0.0  0.70  0  
400400 0.70  0.0  0.70  0  
401440 0.70  0.0  0.70  0  
402480 0.70  0.0  0.70  0  
403520 0.69  0.0  0.69  0  
404560 0.69  0.0  0.69  0  
405600 0.69  0.0  0.69  0  
406640 0.69  0.0  0.69  0  
407680 0.68  0.0  0.68  0  
408720 0.68  0.0  0.68  0  
409760 0.68  0.0  0.68  0  
410800 0.68  0.0  0.68  0  
411840 0.68  0.0  0.68  0  
412880 0.67  0.0  0.67  0  
413920 0.67  0.0  0.67  0  
414960 0.67  0.0  0.67  0  
416000 0.67  0.0  0.67  0  
417040 0.67  0.0  0.67  0  
418080 0.66  0.0  0.66  0  
419120 0.66  0.0  0.66  0  
420160 0.66  0.0  0.66  0  
421200 0.66  0.0  0.66  0  
422240 0.66  0.0  0.66  0  
423280 0.65  0.0  0.65  0  
424320 0.65  0.0  0.65  0  
425360 0.65  0.0  0.65  0  
426400 0.65  0.0  0.65  0  
427440 0.65  0.0  0.65  0  
428480 0.64  0.0  0.64  0  
429520 0.64  0.0  0.64  0  
430560 0.64  0.0  0.64  0  
431600 0.64  0.0  0.64  0  
432640 0.63  0.0  0.63  0  
433680 0.63  0.0  0.63  0  
434720 0.63  0.0  0.63  0  
435760 0.63  0.0  0.63  0  
436800 0.63  0.0  0.63  0  
437840 0.62  0.0  0.62  0  
438880 0.62  0.0  0.62  0  
439920 0.62  0.0  0.62  0  
440960 0.62  0.0  0.62  0  
442000 0.62  0.0  0.62  0  
443040 0.61  0.0  0.61  0  
444080 0.61  0.0  0.61  0  
445120 0.61  0.0  0.61  0  
446160 0.61  0.0  0.61  0  
447200 0.61  0.0  0.61  0  
448240 0.60  0.0  0.60  0  
449280 0.60  0.0  0.60  0  
450320 0.60  0.0  0.60  0  
451360 0.60  0.0  0.60  0  
452400 0.60  0.0  0.60  0  
453440 0.59  0.0  0.59  0  
454480 0.59  0.0  0.59  0  
455520 0.59  0.0  0.59  0  
456560 0.59  0.0  0.59  0  
457600 0.58  0.0  0.58  0  
458640 0.58  0.0  0.58  0  
459680 0.58  0.0  0.58  0  
460720 0.58  0.0  0.58  0  
461760 0.58  0.0  0.58  0  
462800 0.57  0.0  0.57  0  
463840 0.57  0.0  0.57  0  
464880 0.57  0.0  0.57  0  
465920 0.57  0.0  0.57  0  
466960 0.57  0.0  0.57  0  
468000 0.56  0.0  0.56  0  
469040 0.56  0.0  0.56  0  
470080 0.56  0.0  0.56  0  
471120 0.56  0.0  0.56  0  
472160 0.56  0.0  0.56  0  
473200 0.55  0.0  0.55  0  
474240 0.55  0.0  0.55  0  
475280 0.55  0.0  0.55  0  
476320 0.55  0.0  0.55  0  
477360 0.55  0.0  0.55  0  
478400 0.54  0.0  0.54  0  
479440 0.54  0.0  0.54  0  
480480 0.54  0.0  0.54  0  
481520 0.54  0.0  0.54  0  
482560 0.53  0.0  0.53  0  
483600 0.53  0.0  0.53  0  
484640 0.53  0.0  0.53  0  
485680 0.53  0.0  0.53  0  
486720 0.53  0.0  0.53  0  
487760 0.52  0.0  0.52  0  
488800 0.52  0.0  0.52  0  
489840 0.52  0.0  0.52  0  
490880 0.52  0.0  0.52  0  
491920 0.52  0.0  0.52  0  
492960 0.51  0.0  0.51  0  
494000 0.51  0.0  0.51  0  
495040 0.51  0.0  0.51  0  
496080 0.51  0.0  0.51  0  
497120 0.51  0.0  0.51  0  
498160 0.50  0.0  0.50  0  
499200 0.50  0.0  0.50  0  
500240 0.50  0.0  0.50  0  
501280 0.50  0.0  0.50  0  
502320 0.50  0.0  0.50  0  
503360 0.49  0.0  0.49  0  
504400 0.49  0.0  0.49  0  
505440 0.49  0.0  0.49  0  
506480 0.49  0.0  0.49  0  
507520 0.48  0.0  0.48  0  
508560 0.48  0.0  0.48  0  
509600 0.48  0.0  0.48  0  
510640 0.48  0.0  0.48  0  
511680 0.48  0.0  0.48  0  
512720 0.47  0.0  0.47  0  
513760 0.47  0.0  0.47  0  
514800 0.47  0.0  0.47  0  
515840 0.47  0.0  0.47  0  
516880 0.47  0.0  0.47  0  
517920 0.46  0.0  0.46  0  
518960 0.46  0.0  0.46  0  
520000 0.46  0.0  0.46  0  
521040 0.46  0.0  0.46  0  
522080 0.46  0.0  0.46  0  
523120 0.45  0.0  0.45  0  
524160 0.45  0.0  0.45  0  
525200 0.45  0.0  0.45  0  
526240 0.45  0.0  0.45  0  
527280 0.45  0.0  0.45  0  
528320 0.44  0.0  0.44  0  
529360 0.44  0.0  0.44  0  
530400 0.44  0.0  0.44  0  
531440 0.44  0.0  0.44  0  
532480 0.44  0.0  0.44  0  
533520 0.43  0.0  0.43  0  
534560 0.43  0.0  0.43  0  
535600 0.43  0.0  0.43  0  
536640 0.43  0.0  0.43  0  
537680 0.42  0.0  0.42  0  
538720 0.42  0.0  0.42  0  
539760 0.42  0.0  0.42  0  
540800 0.42  0.0  0.42  0  
541840 0.42  0.0  0.42  0  
542880 0.41  0.0  0.41  0  
543920 0.41  0.0  0.41  0  
544960 0.41  0.0  0.41  0  
546000 0.41  0.0  0.41  0  
547040 0.41  0.0  0.41  0  
548080 0.40  0.0  0.40  0  
549120 0.40  0.0  0.40  0  
550160 0.40  0.0  0.40  0  
551200 0.40  0.0  0.40  0  
552240 0.40  0.0  0.40  0  
553280 0.39  0.0  0.39  0  
554320 0.39  0.0  0.39  0  
555360 0.39  0.0  0.39  0  
556400 0.39  0.0  0.39  0  
557440 0.39  0.0  0.39  0  
558480 0.38  0.0  0.38  0  
559520 0.38  0.0  0.38  0  
560560 0.38  0.0  0.38  0  
561600 0.38  0.0  0.38  0  
562640 0.37  0.0  0.37  0  
563680 0.37  0.0  0.37  0  
564720 0.37  0.0  0.37  0  
565760 0.37  0.0  0.37  0  
566800 0.37  0.0  0.37  0  
567840 0.36  0.0  0.36  0  
568880 0.36  0.0  0.36  0  
569920 0.36  0.0  0.36  0  
570960 0.36  0.0  0.36  0  
572000 0.36  0.0  0.36  0  
573040 0.35  0.0  0.35  0  
574080 0.35  0.0  0.35  0  
575120 0.35  0.0  0.35  0  
576160 0.35  0.0  0.35  0  
577200 0.35  0.0  0.35  0  
578240 0.34  0.0  0.34  0  
579280 0.34  0.0  0.34  0  
580320 0.34  0.0  0.34  0  
581360 0.34  0.0  0.34  0  
582400 0.34  0.0  0.34  0  
583440 0.33  0.0  0.33  0  
584480 0.33  0.0  0.33  0  
585520 0.33  0.0  0.33  0  
586560 0.33  0.0  0.33  0  
587600 0.32  0.0  0.32  0  
588640 0.32  0.0  0.32  0  
589680 0.32  0.0  0.32  0  
590720 0.32  0.0  0.32  0  
591760 0.32  0.0  0.32  0  
592800 0.31  0.0  0.31  0  
593840 0.31  0.0  0.31  0  
594880 0.31  0.0  0.31  0  
595920 0.31  0.0  0.31  0  
596960 0.31  0.0  0.31  0  
598000 0.30  0.0  0.30  0  
599040 0.30  0.0  0.30  0  
600080 0.30  0.0  0.30  0  
601120 0.30  0.0  0.30  0  
602160 0.30  0.0  0.30  0  
603200 0.29  0.0  0.29  0  
604240 0.29  0.0  0.29  0  
605280 0.29  0.0  0.29  0  
606320 0.29  0.0  0.29  0  
607360 0.29  0.0  0.29  0  
608400 0.28  0.0  0.28  0  
609440 0.28  0.0  0.28  0  
610480 0.28  0.0  0.28  0  
611520 0.28  0.0  0.28  0  
612560 0.27  0.0  0.27  0  
613600 0.27  0.0  0.27  0  
614640 0.27  0.0  0.27  0  
615680 0.27  0.0  0.27  0  
616720 0.27  0.0  0.27  0  
617760 0.26  0.0  0.26  0  
618800 0.26  0.0  0.26  0  
619840 0.26  0.0  0.26  0  
620880 0.26  0.0  0.26  0  
621920 0.26  0.0  0.26  0  
622960 0.25  0.0  0.25  0  
624000 0.25  0.0  0.25  0  
625040 0.25  0.0  0.25  0  
626080 0.25  0.0  0.25  0  
627120 0.25  0.0  0.25  0  
628160 0.24  0.0  0.24  0  
629200 0.24  0.0  0.24  0  
630240 0.24  0.0  0.24  0  
631280 0.24  0.0  0.24  0  
632320 0.24  0.0  0.24  0  
633360 0.23  0.0  0.23  0  
634400 0.23  0.0  0.23  0  
635440 0.23  0.0  0.23  0  
636480 0.23  0.0  0.23  0  
637520 0.22  0.0  0.22  0  
638560 0.22  0.0  0.22  0  
639600 0.22  0.0  0.22  0  
640640 0.22  0.0  0.22  0  
641680 0.22  0.0  0.22  0  
642720 0.21  0.0  0.21  0  
643760 0.21  0.0  0.21  0  
644800 0.21  0.0  0.21  0  
645840 0.21  0.0  0.21  0  
646880 0.21  0.0  0.21  0  
647920 0.20  0.0  0.20  0  
648960 0.20  0.0  0.20  0  
650000 0.20  0.0  0.20  0  
651040 0.20  0.0  0.20  0  
652080 0.20  0.0  0.20  0  
653120 0.19  0.0  0.19  0  
